outcome,term,event_time,estimate,std_error,t_value,p_value,conf.low,conf.high
y1,event_time::-11:treated,-11,1.412627027783697,0.08282632616278973,17.05529018644713,5.140397333247146e-63,1.2502412630000235,1.5750127925673705
y1,event_time::-10:treated,-10,1.192305148037617,0.06603610808794845,18.055351572955765,4.068776911164707e-70,1.0628375691651357,1.3217727269100983
y1,event_time::-9:treated,-9,1.0878793500242072,0.05800199665784212,18.755894843442793,2.704022228187455e-75,0.9741631075851556,1.2015955924632589
y1,event_time::-8:treated,-8,0.9760607897039798,0.050566358781431155,19.302572169036743,1.8963982193602936e-79,0.8769225419576095,1.0751990374503502
y1,event_time::-7:treated,-7,0.7883994036922823,0.04471501648286138,17.631647390635862,4.573087417247712e-67,0.7007330482558136,0.8760657591287511
y1,event_time::-6:treated,-6,0.6876774762291126,0.04032878108868548,17.05177934133113,5.436493384626651e-63,0.6086105869527699,0.7667443655054552
y1,event_time::-5:treated,-5,0.5604178967336568,0.03618451598389719,15.487782038677913,1.373280051111365e-52,0.48947607698152146,0.6313597164857921
y1,event_time::-4:treated,-4,0.4508020957909495,0.03240461092713269,13.911665127060315,5.3257123867314315e-43,0.38727099678291654,0.5143331947989824
y1,event_time::-3:treated,-3,0.2858427490949862,0.029459199925755332,9.703004488084623,5.110550305974841e-22,0.2280862973545485,0.3435992008354239
y1,event_time::-2:treated,-2,0.16145241960821127,0.02633766692943383,6.130095730984397,9.632374783059713e-10,0.10981591241184131,0.21308892680458125
y1,event_time::0:treated,0,1.9004266365084082,0.024734224355687884,76.83388850927868,0,1.8519337704788899,1.9489195025379265
y1,event_time::1:treated,1,1.7519620517028098,0.025269660420950007,69.33065274792266,0,1.7024194325455306,1.801504670860089
y1,event_time::2:treated,2,1.5883000377253418,0.02623935094535966,60.53122430630195,0,1.5368562846568437,1.63974379079384
y1,event_time::3:treated,3,1.459857518208044,0.02841869626799453,51.369616130214695,0,1.4041410335898183,1.5155740028262696
y1,event_time::4:treated,4,1.3046211989686494,0.030553312345879345,42.699828555400494,0,1.2447196770514668,1.364522720885832
