outcome,group,year,event_time,att,se,ci_low,ci_high
y,2010,2006,-4,0.08711192959287213,0.06462391776964627,-0.039550949235634555,0.2137748084213788
y,2010,2007,-3,-0.09705328929713623,0.054491377603926965,-0.2038563894008331,0.009749810806560621
y,2010,2008,-2,-0.004487346296261868,0.037242784319726024,-0.07748320356292487,0.06850851097040114
y,2010,2009,-1,0.058655655576433284,0.042282460926126426,-0.024217967838774508,0.14152927899164108
y,2010,2010,0,1.435807297955089,0.04151439957810029,1.3544390747820125,1.5171755211281657
y,2010,2011,1,1.4339604349810453,0.03996611932728404,1.3556268410995687,1.512294028862522
y,2010,2012,2,1.4359931565002029,0.045316833407932584,1.347172163020655,1.5248141499797507
y,2010,2013,3,1.4082362796513115,0.04414185212021184,1.3217182494956963,1.4947543098069267
y,2010,2014,4,1.4454497908408248,0.0540656776941448,1.339481062560301,1.5514185191213485
y,2010,2015,5,1.4656561455602528,0.053504130360745146,1.3607880500531924,1.5705242410673133
y,2010,2016,6,1.485543515390584,0.052474018721192284,1.3826944386970472,1.5883925920841209
y,2010,2017,7,1.4993243857624787,0.06653846592739304,1.3689089925447884,1.629739778980169
y,2010,2018,8,1.4142265979481303,0.06325859940541205,1.2902397431135226,1.538213452782738
y,2010,2019,9,1.5131473250784413,0.08613145224508219,1.3443296786780803,1.6819649714788023
y,2010,2020,10,1.5204424601683428,0.09523772249448334,1.3337765240791555,1.7071083962575302
y,2010,2021,11,1.5921197615949287,0.1052923908196102,1.3857466755884928,1.7984928476013646
y,2010,2022,12,1.5368126209610924,0.1425007473478935,1.2575111561592212,1.8161140857629636
y,2010,2023,13,1.4651611957703936,0.18712466660738727,1.0983968492199145,1.8319255423208727
y,2011,2006,-5,0.012032444117923292,0.085038334235646107,-0.1546426909839431,0.17870757921978966
y,2011,2007,-4,0.028269349083465962,0.0723657397459339,-0.11356750081856448,0.1701061989854964
y,2011,2008,-3,-0.07586218728268475,0.06580415245655101,-0.20483832609752473,0.053113951532155215
y,2011,2009,-2,0.03922655520410773,0.043154284503931585,-0.04535584242359818,0.12380895283181363
y,2011,2010,-1,-0.014450525366218612,0.05059192203738475,-0.11361069255949273,0.0847096418270555
y,2011,2011,0,2.007234535868214,0.059982477435320744,1.8896688800949855,2.1248001916414427
y,2011,2012,1,1.9939429591493394,0.05389572442102988,1.8883073392841208,2.099578579014558
y,2011,2013,2,2.0053166260370414,0.051444482984424125,1.90448543938757,2.1061478126865127
y,2011,2014,3,2.078809314892669,0.04853622742542185,1.9836783091388421,2.173940320646496
y,2011,2015,4,2.0507719354206184,0.06661119036487591,1.9202140023054617,2.181329868535775
y,2011,2016,5,2.0631508057669388,0.06300430375932475,1.9396623703986622,2.1866392411352154
y,2011,2017,6,2.0131533144342995,0.07353867508310168,1.8690175112714202,2.1572891175971787
y,2011,2018,7,2.0138852385642654,0.08711361172133712,1.8431425595904447,2.1846279175380863
y,2011,2019,8,2.037772415892344,0.0690198439586397,1.9024935217334102,2.173051310051278
y,2011,2020,9,2.1490792991223078,0.08518903617865352,1.9821087882121469,2.3160498100324687
y,2011,2021,10,2.168254377040604,0.1059483794866726,1.9605955532467259,2.3759132008344825
y,2011,2022,11,2.1470225344429856,0.13724624785097517,1.8780198886550743,2.416025180230897
y,2011,2023,12,2.042526505418661,0.13131704277336304,1.7851451015828697,2.2999079092544528
