personal_id,business_id,year,first_treat,treated,post,tenure_at_entry,true_att,y
1,1,2009,2012,1,0,3,2.5,0.31833
1,1,2010,2012,1,0,3,2.5,-1.303102
1,1,2011,2012,1,0,3,2.5,-1.589674
1,1,2012,2012,1,1,3,2.5,2.959316
1,1,2013,2012,1,1,3,2.5,1.163712
1,1,2014,2012,1,1,3,2.5,2.845465
1,1,2015,2012,1,1,3,2.5,3.445656
1,1,2016,2012,1,1,3,2.5,1.488254
1,1,2017,2012,1,1,3,2.5,3.713739
2,1,2007,2012,1,0,5,2.5,-3.147718
2,1,2008,2012,1,0,5,2.5,-3.964333
2,1,2009,2012,1,0,5,2.5,-3.429256
2,1,2010,2012,1,0,5,2.5,-1.52672
2,1,2011,2012,1,0,5,2.5,-1.703057
2,1,2012,2012,1,1,5,2.5,0.453301
2,1,2013,2012,1,1,5,2.5,-0.641802
3,1,2005,2012,1,0,7,2.5,-0.903618
3,1,2006,2012,1,0,7,2.5,-0.233515
3,1,2007,2012,1,0,7,2.5,-2.497838
3,1,2008,2012,1,0,7,2.5,0.039933
3,1,2009,2012,1,0,7,2.5,1.008144
3,1,2010,2012,1,0,7,2.5,-1.27776
3,1,2011,2012,1,0,7,2.5,0.204367
3,1,2012,2012,1,1,7,2.5,1.789511
3,1,2013,2012,1,1,7,2.5,0.609885
3,1,2014,2012,1,1,7,2.5,0.766494
3,1,2015,2012,1,1,7,2.5,3.265078
3,1,2016,2012,1,1,7,2.5,2.380908
3,1,2017,2012,1,1,7,2.5,2.269539
3,1,2018,2012,1,1,7,2.5,1.679972
3,1,2019,2012,1,1,7,2.5,2.28401
3,1,2020,2012,1,1,7,2.5,2.753848
3,1,2021,2012,1,1,7,2.5,3.724514
4,1,2005,2012,1,0,7,2.5,2.256331
4,1,2006,2012,1,0,7,2.5,1.849636
4,1,2007,2012,1,0,7,2.5,0.210654
4,1,2008,2012,1,0,7,2.5,4.114418
4,1,2009,2012,1,0,7,2.5,2.047534
4,1,2010,2012,1,0,7,2.5,2.930887
4,1,2011,2012,1,0,7,2.5,2.104099
4,1,2012,2012,1,1,7,2.5,3.733456
4,1,2013,2012,1,1,7,2.5,2.986951
4,1,2014,2012,1,1,7,2.5,3.421104
5,1,2006,2012,1,0,6,2.5,-1.669839
5,1,2007,2012,1,0,6,2.5,0.532684
5,1,2008,2012,1,0,6,2.5,1.030511
5,1,2009,2012,1,0,6,2.5,2.019088
5,1,2010,2012,1,0,6,2.5,-1.215292
5,1,2011,2012,1,0,6,2.5,-1.346402
5,1,2012,2012,1,1,6,2.5,-0.502938
5,1,2013,2012,1,1,6,2.5,2.392249
5,1,2014,2012,1,1,6,2.5,2.074863
5,1,2015,2012,1,1,6,2.5,1.60858
5,1,2016,2012,1,1,6,2.5,1.572332
5,1,2017,2012,1,1,6,2.5,0.682353
5,1,2018,2012,1,1,6,2.5,2.978248
6,1,2008,2012,1,0,4,2.5,2.78169
6,1,2009,2012,1,0,4,2.5,-1.986957
6,1,2010,2012,1,0,4,2.5,-1.533215
6,1,2011,2012,1,0,4,2.5,-2.605448
6,1,2012,2012,1,1,4,2.5,0.885767
6,1,2013,2012,1,1,4,2.5,1.216646
6,1,2014,2012,1,1,4,2.5,1.78358
6,1,2015,2012,1,1,4,2.5,1.812028
6,1,2016,2012,1,1,4,2.5,1.889185
6,1,2017,2012,1,1,4,2.5,2.109331
6,1,2018,2012,1,1,4,2.5,2.543356
6,1,2019,2012,1,1,4,2.5,2.505237
6,1,2020,2012,1,1,4,2.5,2.199687
6,1,2021,2012,1,1,4,2.5,4.91154
6,1,2022,2012,1,1,4,2.5,2.160005
7,1,2006,2012,1,0,6,2.5,2.772382
7,1,2007,2012,1,0,6,2.5,3.184662
7,1,2008,2012,1,0,6,2.5,1.227374
7,1,2009,2012,1,0,6,2.5,3.782956
7,1,2010,2012,1,0,6,2.5,2.463533
7,1,2011,2012,1,0,6,2.5,0.934297
7,1,2012,2012,1,1,6,2.5,2.976169
7,1,2013,2012,1,1,6,2.5,3.96405
7,1,2014,2012,1,1,6,2.5,2.230276
7,1,2015,2012,1,1,6,2.5,4.497519
7,1,2016,2012,1,1,6,2.5,5.092223
7,1,2017,2012,1,1,6,2.5,4.332757
8,1,2006,2012,1,0,6,2.5,1.478705
8,1,2007,2012,1,0,6,2.5,0.119204
8,1,2008,2012,1,0,6,2.5,-0.084838
8,1,2009,2012,1,0,6,2.5,1.210331
8,1,2010,2012,1,0,6,2.5,0.662241
8,1,2011,2012,1,0,6,2.5,1.679651
8,1,2012,2012,1,1,6,2.5,0.899523
8,1,2013,2012,1,1,6,2.5,3.666481
8,1,2014,2012,1,1,6,2.5,2.154269
9,1,2007,2012,1,0,5,2.5,-1.953077
9,1,2008,2012,1,0,5,2.5,1.65739
9,1,2009,2012,1,0,5,2.5,-0.276037
9,1,2010,2012,1,0,5,2.5,0.096386
9,1,2011,2012,1,0,5,2.5,-0.498761
9,1,2012,2012,1,1,5,2.5,2.541901
9,1,2013,2012,1,1,5,2.5,2.439013
9,1,2014,2012,1,1,5,2.5,0.957756
9,1,2015,2012,1,1,5,2.5,3.708977
9,1,2016,2012,1,1,5,2.5,1.701562
9,1,2017,2012,1,1,5,2.5,0.978128
9,1,2018,2012,1,1,5,2.5,1.892824
9,1,2019,2012,1,1,5,2.5,3.941136
9,1,2020,2012,1,1,5,2.5,3.090708
9,1,2021,2012,1,1,5,2.5,2.266943
10,1,2005,2012,1,0,7,2.5,-0.034729
10,1,2006,2012,1,0,7,2.5,0.639836
10,1,2007,2012,1,0,7,2.5,-0.112367
10,1,2008,2012,1,0,7,2.5,-0.26144
10,1,2009,2012,1,0,7,2.5,-0.114161
10,1,2010,2012,1,0,7,2.5,0.380139
10,1,2011,2012,1,0,7,2.5,-1.423629
10,1,2012,2012,1,1,7,2.5,1.776106
10,1,2013,2012,1,1,7,2.5,1.36683
10,1,2014,2012,1,1,7,2.5,1.021319
10,1,2015,2012,1,1,7,2.5,2.092614
10,1,2016,2012,1,1,7,2.5,0.839294
10,1,2017,2012,1,1,7,2.5,1.735313
10,1,2018,2012,1,1,7,2.5,0.617503
10,1,2019,2012,1,1,7,2.5,1.581901
10,1,2020,2012,1,1,7,2.5,2.020396
10,1,2021,2012,1,1,7,2.5,1.35835
10,1,2022,2012,1,1,7,2.5,1.962336
10,1,2023,2012,1,1,7,2.5,1.987342
11,1,2005,2012,1,0,7,2.5,0.917994
11,1,2006,2012,1,0,7,2.5,-2.677128
11,1,2007,2012,1,0,7,2.5,1.563291
11,1,2008,2012,1,0,7,2.5,0.490286
11,1,2009,2012,1,0,7,2.5,1.433159
11,1,2010,2012,1,0,7,2.5,-1.156712
11,1,2011,2012,1,0,7,2.5,0.294246
11,1,2012,2012,1,1,7,2.5,1.144756
11,1,2013,2012,1,1,7,2.5,1.871734
11,1,2014,2012,1,1,7,2.5,4.288091
11,1,2015,2012,1,1,7,2.5,2.655339
11,1,2016,2012,1,1,7,2.5,2.546063
11,1,2017,2012,1,1,7,2.5,3.538089
11,1,2018,2012,1,1,7,2.5,2.949932
11,1,2019,2012,1,1,7,2.5,2.724107
12,1,2006,2012,1,0,6,2.5,1.094519
12,1,2007,2012,1,0,6,2.5,-0.305037
12,1,2008,2012,1,0,6,2.5,0.09338
12,1,2009,2012,1,0,6,2.5,0.3049
12,1,2010,2012,1,0,6,2.5,-0.006814
12,1,2011,2012,1,0,6,2.5,0.043126
12,1,2012,2012,1,1,6,2.5,1.033938
12,1,2013,2012,1,1,6,2.5,3.076337
12,1,2014,2012,1,1,6,2.5,1.196892
13,1,2009,2012,1,0,3,2.5,1.806202
13,1,2010,2012,1,0,3,2.5,0.307509
13,1,2011,2012,1,0,3,2.5,0.795924
13,1,2012,2012,1,1,3,2.5,3.705525
13,1,2013,2012,1,1,3,2.5,3.995451
13,1,2014,2012,1,1,3,2.5,3.974571
13,1,2015,2012,1,1,3,2.5,5.638324
13,1,2016,2012,1,1,3,2.5,3.960755
13,1,2017,2012,1,1,3,2.5,3.602455
13,1,2018,2012,1,1,3,2.5,4.596929
13,1,2019,2012,1,1,3,2.5,4.94175
13,1,2020,2012,1,1,3,2.5,2.324781
13,1,2021,2012,1,1,3,2.5,4.524898
14,1,2005,2012,1,0,7,2.5,1.458379
14,1,2006,2012,1,0,7,2.5,0.206365
14,1,2007,2012,1,0,7,2.5,-0.155946
14,1,2008,2012,1,0,7,2.5,-0.150161
14,1,2009,2012,1,0,7,2.5,-0.704409
14,1,2010,2012,1,0,7,2.5,-1.511909
14,1,2011,2012,1,0,7,2.5,-0.955054
14,1,2012,2012,1,1,7,2.5,3.999372
14,1,2013,2012,1,1,7,2.5,1.191414
14,1,2014,2012,1,1,7,2.5,2.319161
14,1,2015,2012,1,1,7,2.5,1.801514
14,1,2016,2012,1,1,7,2.5,1.976294
14,1,2017,2012,1,1,7,2.5,3.086353
14,1,2018,2012,1,1,7,2.5,2.002772
14,1,2019,2012,1,1,7,2.5,3.911991
15,1,2005,2012,1,0,7,2.5,1.623824
15,1,2006,2012,1,0,7,2.5,1.358972
15,1,2007,2012,1,0,7,2.5,0.645968
15,1,2008,2012,1,0,7,2.5,0.529924
15,1,2009,2012,1,0,7,2.5,1.256431
15,1,2010,2012,1,0,7,2.5,-0.669659
15,1,2011,2012,1,0,7,2.5,1.785356
15,1,2012,2012,1,1,7,2.5,1.093905
15,1,2013,2012,1,1,7,2.5,4.431846
15,1,2014,2012,1,1,7,2.5,4.434913
15,1,2015,2012,1,1,7,2.5,5.246229
16,1,2007,2012,1,0,5,2.5,-0.761452
16,1,2008,2012,1,0,5,2.5,0.644247
16,1,2009,2012,1,0,5,2.5,-1.258005
16,1,2010,2012,1,0,5,2.5,-0.964529
16,1,2011,2012,1,0,5,2.5,-2.081722
16,1,2012,2012,1,1,5,2.5,1.737251
16,1,2013,2012,1,1,5,2.5,2.520229
16,1,2014,2012,1,1,5,2.5,0.898346
16,1,2015,2012,1,1,5,2.5,4.529525
16,1,2016,2012,1,1,5,2.5,2.24106
16,1,2017,2012,1,1,5,2.5,2.360141
16,1,2018,2012,1,1,5,2.5,2.858232
16,1,2019,2012,1,1,5,2.5,1.379084
17,1,2006,2012,1,0,6,2.5,-0.673254
17,1,2007,2012,1,0,6,2.5,-2.400953
17,1,2008,2012,1,0,6,2.5,0.20655
17,1,2009,2012,1,0,6,2.5,-0.123305
17,1,2010,2012,1,0,6,2.5,-1.375063
17,1,2011,2012,1,0,6,2.5,-0.056548
17,1,2012,2012,1,1,6,2.5,3.755741
17,1,2013,2012,1,1,6,2.5,2.428728
17,1,2014,2012,1,1,6,2.5,2.245478
18,2,2006,0,0,0,0,0.0,0.188895
18,2,2007,0,0,0,0,0.0,1.058646
18,2,2008,0,0,0,0,0.0,0.059504
18,2,2009,0,0,0,0,0.0,0.824844
18,2,2010,0,0,0,0,0.0,2.860639
18,2,2011,0,0,0,0,0.0,0.525925
18,2,2012,0,0,0,0,0.0,0.708859
18,2,2013,0,0,0,0,0.0,1.587583
18,2,2014,0,0,0,0,0.0,-0.157493
18,2,2015,0,0,0,0,0.0,-0.304001
18,2,2016,0,0,0,0,0.0,0.436539
18,2,2017,0,0,0,0,0.0,0.864822
19,2,2006,0,0,0,0,0.0,0.344614
19,2,2007,0,0,0,0,0.0,-1.069619
19,2,2008,0,0,0,0,0.0,1.628032
19,2,2009,0,0,0,0,0.0,-0.5981
19,2,2010,0,0,0,0,0.0,-0.087398
19,2,2011,0,0,0,0,0.0,-1.403461
19,2,2012,0,0,0,0,0.0,1.593736
19,2,2013,0,0,0,0,0.0,-1.441681
19,2,2014,0,0,0,0,0.0,-0.065705
19,2,2015,0,0,0,0,0.0,0.730213
19,2,2016,0,0,0,0,0.0,-0.007156
19,2,2017,0,0,0,0,0.0,-0.266852
19,2,2018,0,0,0,0,0.0,-0.425156
20,2,2007,0,0,0,0,0.0,0.740351
